PBN	Read	Write	Erase
373	240	53	1
374	113	29	0
375	251	65	1
376	236	44	1
377	11	2	0
378	1153	67	1
379	170	32	0
380	1486	107	1
381	175	32	0
382	1153	67	1
383	169	32	0
384	2024	122	1
385	169	32	0
386	1153	67	1
387	177	32	0
388	1381	102	2
389	170	32	0
390	1153	67	1
391	176	32	0
392	1388	76	2
393	167	32	0
394	1153	67	1
395	165	32	0
396	1907	118	2
397	169	32	0
398	677	36	1
399	243	50	1
400	247	65	1
401	251	65	1
402	247	48	1
403	244	51	1
404	124	32	0
405	1153	67	1
406	173	32	0
407	1558	109	1
408	172	32	0
409	1153	67	1
410	170	32	0
411	2020	122	1
412	176	32	0
413	1153	67	1
414	176	32	0
415	1381	102	2
416	170	32	0
417	1153	67	1
418	174	32	0
419	1951	114	2
420	162	32	0
421	1153	67	1
422	172	32	0
423	1308	79	1
424	171	32	0
425	1119	62	1
426	245	37	1
427	201	58	0
428	249	65	1
429	641	34	1
430	249	51	1
431	243	65	1
432	239	51	1
433	128	31	0
434	1153	67	1
435	166	32	0
436	1827	116	2
437	180	32	0
438	1153	67	1
439	174	32	0
440	1381	102	2
441	171	32	0
442	1153	67	1
443	176	32	0
444	1404	105	1
445	168	32	0
446	1153	67	1
447	170	32	0
448	1406	105	1
449	172	32	0
450	677	36	1
451	244	50	1
452	245	65	1
453	243	47	1
454	247	52	1
455	811	44	1
456	238	46	1
457	247	65	1
458	50	13	0
459	61	11	0
460	1153	67	1
461	172	32	0
462	1513	106	2
463	174	32	0
464	1153	67	1
465	169	32	0
466	1381	102	2
467	169	32	0
468	1153	67	1
469	171	32	0
470	1728	103	2
471	166	32	0
472	1153	67	1
473	171	32	0
474	779	42	1
475	247	47	1
476	247	53	1
477	505	26	1
478	604	94	2
479	103	29	0
480	880	113	2
481	175	38	0
482	1594	110	1
483	168	32	0
484	1153	67	1
485	166	32	0
486	1190	99	1
487	169	32	0
488	1153	67	1
489	175	32	0
490	1511	105	2
491	169	32	0
492	1051	58	1
493	476	74	2
494	492	99	1
495	573	30	1
496	1056	102	2
497	418	90	1
498	241	65	1
499	98	24	0
500	1153	67	1
501	178	32	0
502	1658	98	2
503	173	32	0
504	1153	67	1
505	168	32	0
506	1622	111	1
507	164	32	0
508	1153	67	1
509	174	32	0
510	1379	101	2
511	174	32	0
512	1153	67	1
513	166	32	0
514	711	38	1
515	242	49	1
516	12	3	0
517	243	65	1
518	249	51	1
519	505	26	1
520	243	55	1
521	132	35	0
522	176	38	0
523	1190	99	1
524	167	32	0
525	1153	67	1
526	169	32	0
527	1967	119	2
528	171	32	0
529	1153	67	1
530	171	32	0
531	1720	112	2
532	178	32	0
533	1153	67	1
534	177	32	0
535	1838	117	1
536	166	32	0
537	677	36	1
538	249	50	1
539	244	65	1
540	247	49	1
541	435	22	1
542	251	57	1
543	242	63	1
544	148	41	0
545	145	30	0
546	1153	67	1
547	175	32	0
548	1379	101	2
549	170	32	0
550	1153	67	1
551	174	32	0
552	1188	99	1
553	173	32	0
554	1153	67	1
555	173	32	0
556	1841	115	2
557	170	32	0
558	1153	67	1
559	171	32	0
560	677	36	1
561	242	50	1
562	232	65	1
563	251	47	1
564	245	51	1
565	945	52	1
566	242	42	1
567	244	65	1
568	170	51	0
569	76	19	0
570	38	7	0
571	1228	100	1
572	172	32	0
573	1153	67	1
574	173	32	0
575	1188	73	1
576	168	32	0
577	1153	67	1
578	178	32	0
579	1478	107	1
580	171	32	0
581	1153	67	1
582	170	32	0
583	2060	120	2
584	174	32	0
585	1153	67	1
586	176	32	0
587	1226	100	1
588	175	32	0
589	2033	120	2
590	1155	68	1
591	119	35	0
592	171	33	0
593	732	108	2
594	1155	68	1
595	465	91	2
596	172	33	0
597	225	38	0
598	1155	68	1
599	1761	113	2
600	167	33	0
601	1953	115	2
602	1155	68	1
603	1383	103	2
604	169	33	0
605	363	42	0
606	1155	68	1
607	79	34	0
608	168	33	0
609	598	49	1
610	1155	68	1
611	906	118	3
612	175	33	0
613	1383	103	2
614	1155	68	1
615	873	56	0
616	178	33	0
617	335	41	0
618	1155	68	1
619	702	53	1
620	107	25	0
621	472	83	2
622	246	55	1
623	479	45	0
624	250	54	1
625	875	75	1
626	575	31	1
627	907	72	2
628	239	66	1
629	119	5	0
630	245	62	1
631	524	72	1
632	244	40	1
633	869	56	0
634	1053	59	1
635	741	79	1
636	178	33	0
637	917	84	1
638	1155	68	1
639	1569	99	2
