PBN	Read	Write	Erase
582	3090	1385	27
583	3003	1296	26
584	377	180	3
585	1738	784	15
586	3152	1410	27
587	1553	699	13
588	857	397	7
589	3206	1435	27
590	1452	663	12
591	2960	1284	26
592	2942	1333	25
593	3087	1375	26
594	2941	1296	25
595	1394	604	12
596	2507	1130	21
597	3111	1373	27
598	487	223	4
599	3033	1360	26
600	3133	1428	26
601	3042	1371	26
602	269	137	2
603	3174	1433	27
604	3076	1372	26
605	1715	794	14
606	3249	1477	27
607	3232	1460	27
608	3009	1365	26
609	388	190	3
610	1001	474	8
611	2795	1284	23
612	1953	902	16
613	1327	602	11
614	3100	1389	26
615	2839	1330	23
616	3133	1459	26
617	754	359	6
618	3125	1418	26
619	3207	1465	27
620	34	33	0
621	3188	1478	27
622	1482	692	12
623	3172	1400	27
624	3161	1387	27
625	2948	1331	26
626	3303	1530	27
627	3284	1512	27
628	3267	1495	27
629	3163	1458	26
630	3179	1408	27
631	3078	1371	26
632	3094	1390	26
633	3074	1366	27
634	475	211	4
635	3141	1400	27
636	262	130	2
637	3200	1460	27
638	3060	1354	26
639	3079	1339	27
